ID_REF	GSM484477	GSM484478	GSM484452	GSM484473	GSM484475	GSM484459	GSM484483	GSM484489	GSM484462	GSM484458	GSM484481	GSM484455	GSM484485	GSM484472	GSM484448	GSM484468	GSM484484	GSM484460	GSM484464	GSM484451	GSM484466	GSM484480	GSM484471	GSM484450	GSM484469	GSM484470	GSM484457	GSM484488	GSM484487	GSM484456	GSM484463	GSM484449	GSM484476	GSM484454	GSM484486	GSM484474	GSM484461	GSM484482	GSM484465	GSM484467	GSM484453	GSM484479
ILMN_1903064	53.267619999999994	31.839209999999998	7.229744999999999	17.35908	31.76588	43.52827	20.082539999999998	16.91985	28.478309999999997	8.791442	14.6775	22.4678	32.37053	51.52579	6.625153	33.27796	25.96104	9.604801	22.37432	40.06892	24.1808	12.6633	27.56995	17.91911	19.95663	22.339920000000003	20.36317	20.51654	22.003429999999998	55.13194	37.54025	42.594120000000004	15.98332	19.78298	27.1933	26.60047	24.728620000000003	12.755519999999999	33.739509999999996	16.10921	6.491388	7.071733999999999
ILMN_1670305	78.32735	64.8094	9.85998	-1.681747	65.38132	211.208	21.18644	2.509811	10.411769999999999	-0.08324903	11.4535	32.11037	116.8685	227.6432	7.0205779999999995	78.44715	24.93856	0.8145834	20.83681	147.9154	16.56851	5.362323	9.308683	8.262528	0.3747618	8.799579	6.1250599999999995	9.267124	0.7382395	198.9008	180.1251	221.4294	15.248629999999999	11.08918	18.85738	176.824	18.86054	31.9411	37.546409999999995	4.701484	21.60592	9.327035
ILMN_1781373	834.2311	212.04	186.3659	155.5563	238.2673	446.9165	176.0305	102.339	186.0032	146.5554	121.9488	266.6633	335.4612	365.55400000000003	189.1601	451.0708	205.4076	150.9507	188.3078	412.9131	197.7186	173.2774	161.5236	174.8483	172.2271	220.6219	193.3488	194.1448	102.3482	419.3318	662.9792	653.7101	290.1657	179.3631	258.2162	433.7224	220.0763	239.6556	172.6768	153.6742	198.9855	176.4096
ILMN_2229261	34.01385	21.274639999999998	3.9013739999999997	12.99042	61.07504	87.71081	21.125870000000003	13.99451	13.682910000000001	16.38869	18.50532	19.60876	42.710609999999996	74.36672	20.486079999999998	23.04584	8.46289	15.03466	16.038529999999998	39.35419	24.94315	11.98734	15.56526	6.93129	20.37453	17.07481	18.06605	10.960189999999999	28.485979999999998	43.67989	74.96418	71.70111	11.47082	19.55602	28.351059999999997	32.13159	46.929429999999996	8.656845	62.82293000000001	16.22758	18.04671	15.14836
ILMN_1697493	15.92975	29.538290000000003	13.72741	17.4525	20.596320000000002	30.210590000000003	21.9797	10.46215	25.14409	5.931108999999999	17.6622	8.777397	32.16324	47.691629999999996	30.024720000000002	33.7124	3.664892	11.344380000000001	24.6941	25.21835	37.715559999999996	18.771379999999997	27.45403	19.30109	13.11164	20.23828	16.05536	10.64361	15.003979999999999	80.49168	31.01172	39.72317	27.70741	25.41048	44.80003	46.17153	12.942730000000001	18.428379999999997	27.42936	12.7833	30.366540000000004	11.4593
ILMN_1810420	462.6071	656.3848	266.0023	537.1324	933.6573	934.0817	529.4662	273.9332	389.9557	171.5764	220.9186	196.7713	660.205	1135.767	173.3228	450.0644	292.9688	249.7972	585.6752	720.822	562.1783	325.3474	607.0729	270.7839	304.5289	277.039	342.26199999999994	304.4903	234.0572	1427.086	501.0239	806.0755	331.81300000000005	575.28	419.5945	1229.495	286.6149	305.9322	649.1281	177.4176	473.7121	261.6837
ILMN_1749362	85.52735	22.36337	41.042770000000004	46.19003	15.70541	8.71602	50.15211	31.46353	46.00246	43.22538	42.73268	60.549769999999995	28.510790000000004	13.68255	64.20317	29.71763	72.66345	42.54029	44.5841	24.48685	38.75704	30.78985	44.38029	51.46405	46.42207	60.4467	54.61916	46.20425	40.22547	12.32067	28.383470000000003	17.32122	44.6965	45.23039	26.05392	24.99387	45.97827	44.79244	43.10846	39.19962	48.247170000000004	36.95323
ILMN_2239754	4894.344	1024.678	386.3682	422.8041	604.1312	2631.315	647.7016	276.8205	618.8969	41.07076	264.1308	802.2338	1050.754	2579.176	215.2438	3197.384	430.6654	290.1371	508.6917	1750.026	777.216	312.7542	531.7518	365.452	404.3379	560.6803	555.3527	237.7217	565.5386	1451.2179999999998	2838.478	2103.1220000000003	760.7338	522.5457	529.6456	1362.4620000000002	1397.2879999999998	693.6838	649.8909	198.7888	271.2574	271.1138
ILMN_1659047	930.5505	763.9935	422.13599999999997	677.8792	821.0037	1969.5829999999999	482.3624	641.7963	643.0864	272.5323	510.7729	281.401	1178.76	1889.432	551.3593	462.2956	453.4644	353.4528	515.5129	1332.648	606.7115	513.7867	610.8623	268.8432	566.5695	574.7916	415.3554	453.2148	678.5754	1158.526	1143.611	1093.014	481.4803	607.5333	553.3796	1023.541	284.7927	461.5925	587.1816	360.9734	238.5863	506.4446
ILMN_1708934	2045.2520000000002	2191.899	680.9333	1813.5810000000001	1871.5410000000002	3580.664	1519.3329999999999	752.4885	804.2324	395.0787	663.9456	699.1602	2573.0370000000003	5382.840999999999	526.7897	1483.23	563.6661	879.1757	2540.995	2968.094	1739.5479999999998	1003.112	1836.477	697.9056	678.2663	856.9056	841.3494	769.7796	890.0088	3203.83	2536.9770000000003	3478.283	1998.6229999999998	1315.8	1652.9620000000002	4341.478	772.9335	1535.8210000000001	1273.725	473.5585	659.2378	644.5723
ILMN_2167426	53.185959999999994	62.85875	45.55005	32.75185	60.36231	141.3926	33.5527	23.91065	38.76299	36.696940000000005	58.1454	62.67194	87.26865	138.2314	53.91816	58.354369999999996	60.49159	36.06766	30.39753	94.68932	37.5511	28.27965	17.48355	30.245540000000002	42.1098	45.239	44.03018	52.37344	39.382059999999996	174.5253	97.81062	135.0169	26.104470000000003	35.04387	40.83788	68.71454	45.302009999999996	40.01722	47.90335	40.23697	49.60609	24.48965
ILMN_2185675	33.50574	22.504360000000002	33.30314	31.64862	12.347610000000001	13.90228	34.693329999999996	44.67522	40.70021	32.52324	48.16012	59.12053	21.85587	12.02489	53.612480000000005	41.212720000000004	51.99008	41.43084	36.32235	26.93999	29.77657	30.13966	29.7973	50.39808	22.18526	37.21584	44.82437	43.413540000000005	34.85503	12.76507	16.262179999999997	18.84309	66.37045	34.353809999999996	23.09394	21.66079	46.1687	40.38458	55.07832	34.52397	52.34425	71.13006
ILMN_2374036	249.37599999999998	107.1603	82.29433	60.131	203.8126	191.3848	46.895590000000006	69.7754	64.79745	73.20084	49.97866	132.156	124.34100000000001	124.5643	63.51586999999999	128.4083	89.53905	29.690540000000002	57.87753000000001	69.78912	112.6143	51.20118	47.35376	59.5176	64.18436	161.3205	117.6112	84.02131999999999	32.79211	275.1957	223.7928	174.6311	87.83296999999999	113.8428	71.26619000000001	197.3266	93.5375	41.97757	28.29652	108.5132	54.706430000000005	43.68575
ILMN_2121568	9.280714	1.208592	3.928746	-0.4815781	17.005020000000002	19.9579	3.763179	2.4712009999999998	6.396871	-10.30584	1.187724	3.0497080000000003	21.33856	45.01556	0.8640108	14.52015	2.482971	-0.20929570000000003	7.286973	65.20648	13.832020000000002	-4.947080000000001	-3.424	-6.181014	-0.8710875	3.6143129999999997	9.763492999999999	3.738174	-1.509447	36.487109999999994	10.70082	77.41526	-0.2986534	8.895436	2.120201	40.44855	-4.60452	-3.8627809999999996	-5.430198000000001	4.750565	11.96105	0.1249307
ILMN_2117323	54.63932	37.118159999999996	31.87772	39.42265	11.9842	14.15058	39.697109999999995	50.09292	31.90055	38.50189	41.27742	89.51831999999999	19.37525	10.81042	64.30563000000001	38.379090000000005	62.09972	43.34625	46.17617	27.224590000000003	23.49684	30.42046	30.85308	44.83398	34.360659999999996	40.51347	51.07502	45.69601	46.78035	15.76224	37.37066	14.15816	45.56163	41.358059999999995	31.87148	25.90729	42.65358	64.14636999999999	58.40127	45.62369	43.85333	31.15392
